DOI,PMID,arXiv ID,Title,Abstract,Authors,Journal,Year
10.1136/jamia.2010.008441,21292706,,Use of electronic clinical documentation: time spent and team interactions,"Objective To measure the time spent authoring and viewing documentation and to study patterns of usage in healthcare practice.

Design Audit logs for an electronic health record were used to calculate rates, and social network analysis was applied to ascertain usage patterns. Subjects comprised all care providers at an urban academic medical center who authored or viewed electronic documentation.

Measurement Rate and time of authoring and viewing clinical documentation, and associations among users were measured.

Results Users spent 20–103 min per day authoring notes and 7–56 min per day viewing notes, with physicians spending less than 90 min per day total. About 16% of attendings' notes, 8% of residents' notes, and 38% of nurses' notes went unread by other users, and, overall, 16% of notes were never read by anyone. Viewing of notes dropped quickly with the age of the note, but notes were read at a low but measurable rate, even after 2 years. Most healthcare teams (77%) included a nurse, an attending, and a resident, and those three users' groups were the first to write notes during an admission.

Limitations The limitations were restriction to a single academic medical center and use of log files without direct observation.

Conclusions Care providers spend a significant amount of time viewing and authoring notes. Many notes are never read, and rates of usage vary significantly by author and viewer. While the rate of viewing a note drops quickly with its age, even after 2 years inpatient notes are still viewed.","George Hripcsak,David K. Vawdrey,Matthew R. Fred,Susan Bostwick",Journal of the American Medical Informatics Association,2011
10.1001/archinternmed.2012.3199,22911330,,Burnout and Satisfaction With Work-Life Balance Among US Physicians Relative to the General US Population,"Methods: We conducted a national study of burnout in a large sample of US physicians from all specialty disciplines using the American Medical Association Physician Masterfile and surveyed a probability-based sample of the general US population for comparison. Burnout was measured using validated instruments. Satisfaction with work-life balance was explored. Results: Of 27276 physicians who received an invitation to participate, 7288 (26.7%) completed surveys. When assessed using the Maslach Burnout Inventory, 45.8%ofphysiciansreportedatleast1symptomofburnout. Substantial differences in burnout were observed by specialty, with the highest rates among physicians at the front line of care access (family medicine, general internalmedicine,andemergencymedicine).Comparedwith a probability-based sample of 3442 working US adults, physicians were more likely to have symptoms of burnout (37.9% vs 27.8%) and to be dissatisfied with worklife balance (40.2% vs 23.2%) (P.001 for both). Highest level of education completed also related to burnout in a pooled multivariate analysis adjusted for age, sex, relationship status, and hours worked per week. Comparedwithhighschoolgraduates,individualswithanMD or DO degree were at increased risk for burnout (odds ratio [OR], 1.36; P.001), whereas individuals with a bachelor’sdegree(OR,0.80;P=.048),master’sdegree(OR, 0.71;P=.01),orprofessionalordoctoraldegreeotherthan an MD or DO degree (OR, 0.64; P=.04) were at lower risk for burnout. Conclusions: Burnout is more common among physicians than among other US workers. Physicians in specialties at the front line of care access seem to be at greatest risk.","Tait D. Shanafelt,Sonja Boone,Litjen Tan,Lotte N. Dyrbye,Liselotte N. Dyrbye,Wayne Sotile,Daniel Satele,Colin Patrick West,Jeff A Sloan,Michael R. Oreskovich",JAMA Internal Medicine,2012
,28083306,,"Factors Affecting Physician Professional Satisfaction and Their Implications for Patient Care, Health Systems, and Health Policy","The American Medical Association asked RAND Health to characterize the factors that affect physician professional satisfaction. RAND researchers sought to identify high-priority determinants of professional satisfaction by gathering data from 30 physician practices in six states, using a combination of surveys and semistructured interviews. This article presents the results of the subsequent analysis.","Mark W. Friedberg,Peggy G. Chen,Kristin R. Van Busum,Frances Aunon,Chau Pham,John P. Caloyeras,Soeren Mattke,Emma Pitchforth,Denise D. Quigley,Robert H. Brook,F. Jay Crosson,Michael A. Tutty",,2013
10.1370/afm.1713,25384822,,From Triple to Quadruple Aim: Care of the Patient Requires Care of the Provider,"The Triple Aim—enhancing patient experience, improving population health, and reducing costs—is widely accepted as a compass to optimize health system per- formance. Yet physicians and other members of the health care workforce report widespread burnout and dissatisfaction. Burnout is associated with lower patient satisfaction, reduced health outcomes, and it may increase costs. Burnout thus imperils the Triple Aim. This article recommends that the Triple Aim be expanded to a Quadruple Aim, adding the goal of improving the work life of health care providers, including clinicians and staff.","Thomas Bodenheimer,Christine A. Sinsky",Annals of Family Medicine,2014
10.1016/j.mayocp.2015.08.023,,,Changes in Burnout and Satisfaction With Work-Life Balance in Physicians and the General US Working Population Between 2011 and 2014,"Abstract  Objective  To evaluate the prevalence of burnout and satisfaction with work-life balance in physicians and US workers in 2014 relative to2011.  Patients and Methods  From August 28, 2014, to October 6, 2014, we surveyed both US physicians and a probability-based sample of the general US population using the methods and measures used in our 2011 study. Burnout was measured using validated metrics, and satisfaction with work-life balance was assessed using standard tools.  Results  Of the 35,922 physicians who received an invitation to participate, 6880 (19.2%) completed surveys. When assessed using the Maslach Burnout Inventory, 54.4% (n=3680) of the physicians reported at least 1 symptom of burnout in 2014 compared with 45.5% (n=3310) in 2011 ( P  P  P  P   Conclusion  Burnout and satisfaction with work-life balance in US physicians worsened from 2011 to 2014. More than half of US physicians are now experiencing professional burnout.","Tait D. Shanafelt,Omar Hasan,Liselotte N. Dyrbye,Lotte N. Dyrbye,Christine A. Sinsky,Daniel Satele,Jeff A Sloan,Colin Patrick West",,2015
10.1377/hlthaff.2016.0811,28373331,,Electronic Health Record Logs Indicate That Physicians Split Time Evenly Between Seeing Patients And Desktop Medicine,"Time spent by physicians is a key resource in health care delivery. This study used data captured by the access time stamp functionality of an electronic health record (EHR) to examine physician work effort. This is a potentially powerful, yet unobtrusive, way to study physicians’ use of time. We used data on physicians’ time allocation patterns captured by over thirty-one million EHR transactions in the period 2011–14 recorded by 471 primary care physicians, who collectively worked on 765,129 patients’ EHRs. Our results suggest that the physicians logged an average of 3.08 hours on office visits and 3.17 hours on desktop medicine each day. Desktop medicine consists of activities such as communicating with patients through a secure patient portal, responding to patients’ online requests for prescription refills or medical advice, ordering tests, sending staff messages, and reviewing test results. Over time, log records from physicians showed a decline in the time allocated to face-to-face visits, accompan...","Ming Tai-Seale,Cliff Olson,Jinnan Li,Albert S. Chan,Criss Morikawa,Meg Durbin,Wei Wang,Wei Wang,Harold S. Luft",Health Affairs,2017
,10662416,,Estimates of costs of primary care physician turnover.,"OBJECTIVE: To provide estimates of the institutional costs associated with primary care physician (PCP) turnover (job exit). SUBJECTS AND METHODS: A cohort of 533 postresident, nonfederal, employed PCPs younger than 45 years of age, in practice between 2 and 9 years, participated in national surveys in 1987 and 1991. Data from a national study of physician compensation and productivity and data from physician recruiters were combined with PCP cohort data to estimate recruitment and replacement costs associated with turnover. RESULTS: By the time of the 1991 survey, slightly more than half (n = 279 or 55%) of all PCPs in this cohort had left the practice in which they had been employed in 1987; 20% (n = 100) had left 2 employers in that same 5-year period. Among those who left, self-designated specialties and proportions were general/family practice (n = 104 or 37%); general internal medicine (n = 91 or 33%); and pediatrics (n = 84 or 30%). Estimates of recruitment and replacement costs for individual PCPs for the 3 specialties were $236,383 for general/family practice, $245,128 for general internal medicine, and $264,645 for pediatrics. Turnover costs for all PCPs in the cohort by specialty were $24.5 million for general/family practice, $22.3 million for general internal medicine, and $22.2 million for pediatrics. CONCLUSIONS: Turnover was an important phenomenon among the PCPs in this cohort. This turnover has major fiscal implications for PCP employers because loss of PCPs causes healthcare delivery systems to lose resources that could otherwise be devoted to patient care.","Sharon B. Buchbinder,Modena E. H. Wilson,Clifford F. Melick,Neil R. Powe",The American Journal of Managed Care,1999
10.1197/jamia.m2042,16799128,,Types of Unintended Consequences Related to Computerized Provider Order Entry,"Objective: To identify types of clinical unintended adverse consequences resulting from computerized provider order entry (CPOE) implementation. Design: An expert panel provided initial examples of adverse unintended consequences of CPOE. The authors, using qualitative methods, gathered and analyzed additional examples from five successful CPOE sites. Methods: Using a card sort method, the authors developed a categorization scheme for the 79 unintended consequences initially identified and then iteratively modified the scheme to categorize 245 additional adverse consequences resulting from fieldwork. Because the focus centered on consequences requiring prevention or remedial action, the authors did not further analyze reported unintended beneficial (positive) consequences. Results: Unintended adverse consequences (UACs) fell into nine major categories (in order of decreasing frequency): 1) more/new work for clinicians; 2) unfavorable workflow issues; 3) never ending system demands; 4) problems related to paper persistence; 5) untoward changes in communication patterns and practices; 6) negative emotions; 7) generation of new kinds of errors; 8) unexpected changes in the power structure; and 9) overdependence on the technology. Clinical decision support features introduced many of these unintended consequences. Conclusion: Identifying and understanding the types and in some instances the causes of unintended adverse consequences associated with CPOE will enable system developers and implementers to better manage implementation and maintenance of future CPOE projects.","Emily M. Campbell,Dean F. Sittig,Joan S. Ash,Kenneth P. Guappone,Richard H. Dykstra",Journal of the American Medical Informatics Association,2006
10.1197/jamia.m2616,18436903,,"Workarounds to barcode medication administration systems: their occurrences, causes, and threats to patient safety.","The authors develop a typology of clinicians' workarounds when using barcoded medication administration (BCMA) systems. Authors then identify the causes and possible consequences of each workaround. The BCMAs usually consist of handheld devices for scanning machine-readable barcodes on patients and medications. They also interface with electronic medication administration records. Ideally, BCMAs help confirm the five “rights” of medication administration: right patient, drug, dose, route, and time. While BCMAs are reported to reduce medication administration errors—the least likely medication error to be intercepted— these claims have not been clearly demonstrated. The authors studied BCMA use at five hospitals by: (1) observing and shadowing nurses using BCMAs at two hospitals, (2) interviewing staff and hospital leaders at five hospitals, (3) participating in BCMA staff meetings, (4) participating in one hospital's failure-mode-and-effects analyses, (5) analyzing BCMA override log data. The authors identified 15 types of workarounds, including, for example, affixing patient identification barcodes to computer carts, scanners, doorjambs, or nurses' belt rings; carrying several patients' prescanned medications on carts. The authors identified 31 types of causes of workarounds, such as unreadable medication barcodes (crinkled, smudged, torn, missing, covered by another label); malfunctioning scanners; unreadable or missing patient identification wristbands (chewed, soaked, missing); nonbarcoded medications; failing batteries; uncertain wireless connectivity; emergencies. The authors found nurses overrode BCMA alerts for 4.2% of patients charted and for 10.3% of medications charted. Possible consequences of the workarounds include wrong administration of medications, wrong doses, wrong times, and wrong formulations. Shortcomings in BCMAs' design, implementation, and workflow integration encourage workarounds. Integrating BCMAs within real-world clinical workflows requires attention to in situ use to ensure safety features' correct use.","Ross Koppel,Tosha B. Wetterneck,Joel Leon Telles,Ben-Tzion Karsh",Journal of the American Medical Informatics Association,2008
10.1136/qshc.2010.042085,20959322,,A new sociotechnical model for studying health information technology in complex adaptive healthcare systems,"Background Conceptual models have been developed to address challenges inherent in studying health information technology (HIT).

Method This manuscript introduces an eight-dimensional model specifically designed to address the sociotechnical challenges involved in design, development, implementation, use and evaluation of HIT within complex adaptive healthcare systems.

Discussion The eight dimensions are not independent, sequential or hierarchical, but rather are interdependent and inter-related concepts similar to compositions of other complex adaptive systems. Hardware and software computing infrastructure refers to equipment and software used to power, support and operate clinical applications and devices. Clinical content refers to textual or numeric data and images that constitute the ‘language’ of clinical applications. The human–computer interface includes all aspects of the computer that users can see, touch or hear as they interact with it. People refers to everyone who interacts in some way with the system, from developer to end user, including potential patient-users. Workflow and communication are the processes or steps involved in ensuring that patient care tasks are carried out effectively. Two additional dimensions of the model are internal organisational features (eg, policies, procedures and culture) and external rules and regulations , both of which may facilitate or constrain many aspects of the preceding dimensions. The final dimension is measurement and monitoring , which refers to the process of measuring and evaluating both intended and unintended consequences of HIT implementation and use. We illustrate how our model has been successfully applied in real-world complex adaptive settings to understand and improve HIT applications at various stages of development and implementation.","Dean F. Sittig,Hardeep Singh",Quality & Safety in Health Care,2010
10.1097/sla.0b013e3181bfdab3,19934755,,Burnout and medical errors among American surgeons.,"Objective:To evaluate the relationship between burnout and perceived major medical errors among American surgeons.Background:Despite efforts to improve patient safety, medical errors by physicians remain a common cause of morbidity and mortality.Methods:Members of the American College of Surgeons we","Tait D. Shanafelt,Charles M. Balch,Gerald Bechamps,Thomas R. Russell,Lotte N. Dyrbye,Liselotte N. Dyrbye,Daniel Satele,Paul Collicott,Paul J. Novotny,Jeff A Sloan,Julie A. Freischlag",Annals of Surgery,2010
10.1111/j.1553-2712.2010.00718.x,20536801,,Impact of scribes on performance indicators in the emergency department.,"Objectives: The objective was to quantify the effect of scribes on three measures of emergency physician (EP) productivity in an adult emergency department (ED). Methods: For this retrospective study, 243 clinical shifts (of either 10 or 12 hours) worked by 13 EPs during an 18-month period were selected for evaluation. Payroll data sheets were examined to determine whether these shifts were covered, uncovered, or partially covered (for less than 4 hours) by a scribe; partially covered shifts were grouped with uncovered shifts for analysis. Covered shifts were compared to uncovered shifts in a clustered design, by physician. Hierarchical linear models were used to study the association between percentage of patients with which a scribe was used during a shift and EP productivity as measured by patients per hour, relative value units (RVUs) per hour, and turnaround time (TAT) to discharge. Results: RVUs per hour increased by 0.24 units (95% confidence interval [CI] = 0.10 to 0.38, p = 0.0011) for every 10% increment in scribe usage during a shift. The number of patients per hour increased by 0.08 (95% CI = 0.04 to 0.12, p = 0.0024) for every 10% increment of scribe usage during a shift. TAT was not significantly associated with scribe use. These associations did not lose significance after accounting for physician assistant (PA) use. Conclusions: In this retrospective study, EP use of a scribe was associated with improved overall productivity as measured by patients treated per hour (Pt ⁄hr) and RVU generated per hour by EPs, but not as measured by TAT to discharge. ACADEMIC EMERGENCY MEDICINE 2010; 17:490‐494 a 2010 by the Society for Academic Emergency","Rajiv Arya,Rajiv Arya,Rajiv Arya,Danielle M. Salovich,Pamela Ohman-Strickland,Mark A. Merlin",Academic Emergency Medicine,2010
10.1136/jamia.2010.007237,21233086,,Data from clinical notes: a perspective on the tension between structure and flexible documentation.,"Clinical documentation is central to patient care. The success of electronic health record system adoption may depend on how well such systems support clinical documentation. A major goal of integrating clinical documentation into electronic heath record systems is to generate reusable data. As a result, there has been an emphasis on deploying computer-based documentation systems that prioritize direct structured documentation. Research has demonstrated that healthcare providers value different factors when writing clinical notes, such as narrative expressivity, amenability to the existing workflow, and usability. The authors explore the tension between expressivity and structured clinical documentation, review methods for obtaining reusable data from clinical notes, and recommend that healthcare providers be able to choose how to document patient care based on workflow and note content needs. When reusable data are needed from notes, providers can use structured documentation or rely on post-hoc text processing to produce structured data, as appropriate.","S. Trent Rosenbloom,Joshua C. Denny,Hua Xu,Nancy M. Lorenzi,William W. Stead,Kevin B. Johnson",Journal of the American Medical Informatics Association,2011
10.1056/nejmp1102099,21591942,,Revisiting E&M visit guidelines--a missing piece of payment reform.,"The Current Procedural Terminology codes covering evaluation and management ( E&M) services and their interpretive documentation guidelines create serious problems that should be addressed now, lest they be replicated in new approaches to provider payment.","Robert A. Berenson,Robert A. Berenson,Peter Basch,Amanda Sussex",The New England Journal of Medicine,2011
10.1136/amiajnl-2012-000901,22813762,,Clinical documentation: composition or synthesis?,"Objective To understand the nature of emerging electronic documentation practices, disconnects between documentation workflows and computing systems designed to support them, and ways to improve the design of electronic documentation systems.

Materials and methods Time-and-motion study of resident physicians' note-writing practices using a commercial electronic health record system that includes an electronic documentation module. The study was conducted in the general medicine unit of a large academic hospital.

Results During the study, 96 note-writing sessions by 11 resident physicians, resulting in close to 100 h of observations were seen. Seven of the 10 most common transitions between activities during note composition were between documenting, and gathering and reviewing patient data, and updating the plan of care.

Discussion The high frequency of transitions seen in the study suggested that clinical documentation is fundamentally a synthesis activity, in which clinicians review available patient data and summarize their impressions and judgments. At the same time, most electronic health record systems are optimized to support documentation as uninterrupted composition. This mismatch leads to fragmentation in clinical work, and results in inefficiencies and workarounds. In contrast, we propose that documentation can be best supported with tools that facilitate data exploration and search for relevant information, selective reading and annotation, and composition of a note as a temporal structure.

Conclusions Time-and-motion study of clinicians' electronic documentation practices revealed a high level of fragmentation of documentation activities and frequent task transitions. Treating documentation as synthesis rather than composition suggests new possibilities for supporting it more effectively with electronic systems.","Lena Mamykina,David K. Vawdrey,Peter D. Stetson,Kai Zheng,George Hripcsak",Journal of the American Medical Informatics Association,2012
10.1370/afm.1531,23690328,,In Search of Joy in Practice: A Report of 23 High-Functioning Primary Care Practices,"We highlight primary care innovations gathered from high-functioning primary care practices, innovations we believe can facilitate joy in practice and mitigate physician burnout. To do so, we made site visits to 23 high-performing primary care practices and focused on how these practices distribute functions among the team, use technology to their advantage, improve outcomes with data, and make the job of primary care feasible and enjoyable as a life's vocation. Innovations identifi ed include (1) proactive planned care, with previsit planning and previsit laboratory tests; (2) sharing clinical care among a team, with expanded rooming protocols, standing orders, and panel management; (3) sharing clerical tasks with collaborative documentation (scribing), nonphysician order entry, and stream- lined prescription management; (4) improving communication by verbal mes- saging and in-box management; and (5) improving team functioning through co-location, team meetings, and work fl ow mapping. Our observations suggest that a shift from a physician-centric model of work distribution and responsibility to a shared-care model, with a higher level of clinical support staff per physician and frequent forums for communication, can result in high-functioning teams, improved professional satisfaction, and greater joy in practice.","Christine A. Sinsky,Rachel Willard-Grace,Andrew M. Schutzbank,Thomas A. Sinsky,David Margolius,Thomas Bodenheimer",Annals of Family Medicine,2013
10.1136/amiajnl-2012-001093,22962195,,The future state of clinical data capture and documentation: a report from AMIA's 2011 Policy Meeting.,"Much of what is currently documented in the electronic health record is in response toincreasingly complex and prescriptive medicolegal, reimbursement, and regulatory requirements. These requirements often result in redundant data capture and cumbersome documentation processes. AMIA's 2011 Health Policy Meeting examined key issues in this arena and envisioned changes to help move toward an ideal future state of clinical data capture and documentation. The consensus of the meeting was that, in the move to a technology-enabled healthcare environment, the main purpose of documentation should be to support patient care and improved outcomes for individuals and populations and that documentation for other purposes should be generated as a byproduct of care delivery. This paper summarizes meeting deliberations, and highlights policy recommendations and research priorities. The authors recommend development of a national strategy to review and amend public policies to better support technology-enabled data capture and documentation practices.","Caitlin M. Cusack,George Hripcsak,Meryl Bloomrosen,S. Trent Rosenbloom,Charlotte A. Weaver,Adam Wright,David K. Vawdrey,James T. Walker,James M. Walker,Lena Mamykina",Journal of the American Medical Informatics Association,2013
10.1007/s11606-015-3235-4,25724571,,A Cluster Randomized Trial of Interventions to Improve Work Conditions and Clinician Burnout in Primary Care: Results from the Healthy Work Place (HWP) Study,"BACKGROUND
Work conditions in primary care are associated with physician burnout and lower quality of care.","Mark Linzer,Sara Poplau,Ellie Grossman,Anita B. Varkey,Steven H. Yale,Steven H. Yale,Eric S. Williams,Lanis L. Hicks,Roger L. Brown,Jill Wallock,Diane Kohnhorst,Michael Barbouche",Journal of General Internal Medicine,2015
