DOI,PMID,arXiv ID,Title,Abstract,Authors,Journal,Year
10.2196/preprints.36200,,,Physician Burnout and the Electronic Health Record Leading up to and During The First Year of COVID-19: A Systematic Review (Preprint),"<sec> <title>BACKGROUND</title> Physician burnout was first identified in 1974, and it has been particularly prevalent during the first year of the pandemic. </sec> <sec> <title>OBJECTIVE</title> To objectively analyze the literature over the last five years for empirical evidence of burnout incident to the EHR and to identify barriers, facilitators, associated patient satisfaction to using the EHR to improve symptoms of burnout. </sec> <sec> <title>METHODS</title> No human subjects were used in this review, however 100% of participants in studies analyzed were adult physicians. Four research databases and one targeted journal were queried for studies commensurate with the objective statement from January 1, 2016 through January 31st 2021 (n=25). </sec> <sec> <title>RESULTS</title> The hours spent in documentation and workflow are responsible for the sense of loss of autonomy, lack of work-life balance, lack of control of one’s schedule, cognitive fatigue, a general loss of autonomy and poor relationships with colleagues. Researchers have identified training, local customization of templates and workflow, and the use of scribes to alleviate the administrative burden of the EHR and decreased symptoms of burnout. </sec> <sec> <title>CONCLUSIONS</title> The solutions provided in the literature only addressed two of the three factors, workflow and documentation time, but not the third, usability. Practitioners and administrators should focus on the former two factors because they are within their sphere of control. EHR vendors should focus on empirical evidence to identify usability features with the greatest impact to improve. Researchers should design experiments to explore solutions that address all three factors of the EHR that contribute to burnout. </sec> <sec> <title>INTERNATIONAL REGISTERED REPORT</title> RR2-10.2196/15490 </sec>","Scott Kruse,Clemens Scott Kruse,Michael Mileski,Gevin Dray,Zakia Johnson,Cameron Shaw,Harshita Shirodkar",,2022
10.2196/36200,35120019,,Physician Burnout and the Electronic Health Record Leading up to and During The First Year of COVID-19: A Systematic Review.,"Physician burnout has been a documented problem since the 1970s. This condition is detrimental to physician wellbeing which can lead to quality implication is the provision of care.To objectively analyze the literature over the last five years for empirical evidence of burnout incident to the EHR and to identify barriers, facilitators, associated patient satisfaction to using the EHR to improve symptoms of burnout.No human subjects were used in this review, however 100% of participants in studies analyzed were adult physicians. Four research databases and one targeted journal were queried for studies commensurate with the objective statement from January 1, 2016 through January 31st 2021 (n=25).The hours spent in documentation and workflow are responsible for the sense of loss of autonomy, lack of work-life balance, lack of control of one's schedule, cognitive fatigue, a general loss of autonomy and poor relationships with colleagues. Researchers have identified training, local customization of templates and workflow, and the use of scribes to alleviate the administrative burden of the EHR and decreased symptoms of burnout.The solutions provided in the literature only addressed two of the three factors, workflow and documentation time, but not the third, usability. Practitioners and administrators should focus on the former two factors because they are within their sphere of control. EHR vendors should focus on empirical evidence to identify usability features with the greatest impact to improve. Researchers should design experiments to explore solutions that address all three factors of the EHR that contribute to burnout.RR2-10.2196/15490.","Clemens Scott Kruse,Michael Mileski,Gevin Dray,Zakia Johnson,Cameron Shaw,Harshita Shirodkar",Journal of Medical Internet Research,2022
10.1055/s-0042-1756422,36104154,,Quantifying the Electronic Health Record Burden in Head and Neck Cancer Care,"Abstract Background Although the main task of health care providers is to provide patient care, studies show that increasing amounts of time are spent on documentation. Objective To quantify the time and effort spent on the electronic health record (EHR) in head and neck cancer care. Methods Cross-sectional time–motion study. Primary outcomes were the percentages of time spent on the EHR and the three main tasks (chart review, input, placing orders), number of mouse events, and keystrokes per consultation. Secondary outcome measures were perceptions of health care providers regarding EHR documentation and satisfaction. Results In total, 44.0% of initial oncological consultation (IOC) duration and 30.7% of follow-up consultation (FUC) duration are spent on EHR tasks. During 80.0% of an IOC and 67.9% of a FUC, the patient and provider were actively communicating. Providers required 593 mouse events and 1,664 keystrokes per IOC and 140 mouse events and 597 keystrokes per FUC, indicating almost 13 mouse clicks and close to 40 keystrokes for every minute of consultation time. Less than a quarter of providers indicated that there is enough time for documentation. Conclusion This study quantifies the widespread concern of high documentation burden for health care providers in oncology, which has been related to burnout and a decrease of patient–clinician interaction. Despite excessive time and effort spent on the EHR, health care providers still felt this was insufficient for proper documentation. However, the need for accurate and complete documentation is high, as reuse of information becomes increasingly important. The challenge is to decrease the documentation burden while increasing the quality of EHR data.","Tom Ebbers,Rudolf B. Kool,Ludi E. Smeele,Robert P. Takes,Guido B. van den Broek,Richard Dirven",Applied Clinical Informatics,2022
10.1055/s-0041-1739518,34820789,,Clinician and Health Care Leaders' Experiences with-and Perceptions of-COVID-19 Documentation Reduction Policies and Practices.,"BackgroundSubstantial strategies to reduce clinical documentation were implemented by health care systems throughout the coronavirus disease-2019 (COVID-19) pandemic at national and local levels. This natural experiment provides an opportunity to study the impact of documentation reduction strategies on documentation burden among clinicians and other health professionals in the United States.     ObjectivesThe aim of this study was to assess clinicians' and other health care leaders' experiences with and perceptions of COVID-19 documentation reduction strategies and identify which implemented strategies should be prioritized and remain permanent post-pandemic.     MethodsWe conducted a national survey of clinicians and health care leaders to understand COVID-19 documentation reduction strategies implemented during the pandemic using snowball sampling through professional networks, listservs, and social media. We developed and validated a 19-item survey leveraging existing post-COVID-19 policy and practice recommendations proposed by Sinsky and Linzer. Participants rated reduction strategies for impact on documentation burden on a scale of 0 to 100. Free-text responses were thematically analyzed.     ResultsOf the 351 surveys initiated, 193 (55%) were complete. Most participants were informaticians and/or clinicians and worked for a health system or in academia. A majority experienced telehealth expansion (81.9%) during the pandemic, which participants also rated as highly impactful (60.1–61.5) and preferred that it remain (90.5%). Implemented at lower proportions, documenting only pertinent positives to reduce note bloat (66.1±28.3), changing compliance rules and performance metrics to eliminate those without evidence of net benefit (65.7±26.3), and electronic health record (EHR) optimization sprints (64.3±26.9) received the highest impact scores compared with other strategies presented; support for these strategies widely ranged (49.7–63.7%).     ConclusionThe results of this survey suggest there are many perceived sources of and solutions for documentation burden. Within strategies, we found considerable support for telehealth, documenting pertinent positives, and changing compliance rules. We also found substantial variation in the experience of documentation burden among participants.","Amanda J. Moy,Jessica M. Schwartz,Jennifer Withall,Eugene Lucas,Kenrick Cato,S. Trent Rosenbloom,Kevin B. Johnson,Judy Murphy,Don E. Detmer,Sarah Collins Rossetti",Applied Clinical Informatics,2021
10.1007/s12553-021-00568-0,34094806,,Digital scribe utility and barriers to implementation in clinical practice: a scoping review.,"Electronic health records (EHRs) allow for meaningful usage of healthcare data. Their adoption provides clinicians with a central location to access and share data, write notes, order labs and prescriptions, and bill for patient visits. However, as non-clinical requirements have increased, time spent using EHRs eclipsed time spent on direct patient care. Several solutions have been proposed to minimize the time spent using EHRs, though each have limitations. Digital scribe technology uses voice-to-text software to convert ambient listening to meaningful medical notes and may eliminate the physical task of documentation, allowing physicians to spend less time on EHR engagement and more time with patients. However, adoption of digital scribe technology poses many barriers for physicians. In this study, we perform a scoping review of the literature to identify barriers to digital scribe implementation and provide solutions to address these barriers. We performed a literature review of digital scribe technology and voice-to-text conversion and information extraction as a scope for future research. Fifteen articles met inclusion criteria. Of the articles included, four were comparative studies, three were reviews, three were original investigations, two were perspective pieces, one was a cost-effectiveness study, one was a keynote address, and one was an observational study. The published articles on digital scribe technology and voice-to-text conversion highlight digital scribe technology as a solution to the inefficient interaction with EHRs. Benefits of digital scribe technologies included enhancing clinician ability to navigate charts, write notes, use decision support tools, and improve the quality of time spent with patients. Digital scribe technologies can improve clinic efficiency and increase patient access to care while simultaneously reducing physician burnout. Implementation barriers include upfront costs, integration with existing technology, and time-intensive training. Technological barriers include adaptability to linguistic differences, compatibility across different clinical encounters, and integration of medical jargon into the note. Broader risks include automation bias and risks to data privacy. Overcoming significant barriers to implementation will facilitate more widespread adoption. Supplementary information The online version contains supplementary material available at 10.1007/s12553-021-00568-0.","Shilpa Ghatnekar,Shilpa Ghatnekar,Shilpa Ghatnekar,Adam Faletsky,Vinod E. Nambudiri",Health technology,2021
10.1055/s-0041-1733909,34433218,,Interaction Time with Electronic Health Records: A Systematic Review.,"BACKGROUND The amount of time that health care clinicians (physicians and nurses) spend interacting with the electronic health record is not well understood. OBJECTIVE This study aimed to evaluate the time that health care providers spend interacting with electronic health records (EHR). METHODS Data are retrieved from Ovid MEDLINE(R) and Epub Ahead of Print, In-Process and Other Non-Indexed Citations and Daily, (Ovid) Embase, CINAHL, and SCOPUS. STUDY ELIGIBILITY CRITERIA Peer-reviewed studies that describe the use of EHR and include measurement of time either in hours, minutes, or in the percentage of a clinician's workday. Papers were written in English and published between 1990 and 2021. PARTICIPANTS All physicians and nurses involved in inpatient and outpatient settings. STUDY APPRAISAL AND SYNTHESIS METHODS A narrative synthesis of the results, providing summaries of interaction time with EHR. The studies were rated according to Quality Assessment Tool for Studies with Diverse Designs. RESULTS Out of 5,133 de-duplicated references identified through database searching, 18 met inclusion criteria. Most were time-motion studies (50%) that followed by logged-based analysis (44%). Most were conducted in the United States (94%) and examined a clinician workflow in the inpatient settings (83%). The average time was nearly 37% of time of their workday by physicians in both inpatient and outpatient settings and 22% of the workday by nurses in inpatient settings. The studies showed methodological heterogeneity. CONCLUSION This systematic review evaluates the time that health care providers spend interacting with EHR. Interaction time with EHR varies depending on clinicians' roles and clinical settings, computer systems, and users' experience. The average time spent by physicians on EHR exceeded one-third of their workday. The finding is a possible indicator that the EHR has room for usability, functionality improvement, and workflow optimization.","Yuliya Pinevich,Kathryn J. Clark,Kathryn J. Clark,Andrew M. Harrison,Brian W. Pickering,Vitaly Herasevich",Applied Clinical Informatics,2021
10.1001/jamanetworkopen.2021.15334,34279650,,Length and Redundancy of Outpatient Progress Notes Across a Decade at an Academic Medical Center.,"Importance  There is widespread concern that clinical notes have grown longer and less informative over the past decade. Addressing these concerns requires a better understanding of the magnitude, scope, and potential causes of increased note length and redundancy.  Objective  To measure changes between 2009 and 2018 in the length and redundancy of outpatient progress notes across multiple medical specialties and investigate how these measures associate with author experience and method of note entry.  Design, Setting, and Participants  This cross-sectional study was conducted at Oregon Health & Science University, a large academic medical center. Participants included clinicians and staff who wrote outpatient progress notes between 2009 and 2018 for a random sample of 200000 patients. Statistical analysis was performed from March to August 2020.  Exposures  Use of a comprehensive electronic health record to document patient care.  Main Outcomes and Measures  Note length, note redundancy (ie, the proportion of text identical to the patient’s last note), and percentage of templated, copied, or directly typed note text.  Results  A total of 2704800 notes written by 6228 primary authors across 46 specialties were included in this study. Median note length increased 60.1% (99% CI, 46.7%-75.2%) from a median of 401 words (interquartile range [IQR], 225-660 words) in 2009 to 642 words (IQR, 399-1007 words) in 2018. Median note redundancy increased 10.9 percentage points (99% CI, 7.5-14.3 percentage points) from 47.9% in 2009 to 58.8% in 2018. Notes written in 2018 had a mean value of just 29.4% (99% CI, 28.2%-30.7%) directly typed text with the remaining 70.6% of text being templated or copied. Mixed-effect linear models found that notes with higher proportions of templated or copied text were significantly longer and more redundant (eg, in the 2-year model, each 1% increase in the proportion of copied or templated note text was associated with 1.5% [95% CI, 1.5%-1.5%] and 1.6% [95% CI, 1.6%-1.6%] increases in note length, respectively). Residents and fellows also wrote significantly (26.3% [95% CI, 25.8%-26.7%]) longer notes than more senior authors, as did more recent hires (1.8% for each year later [95% CI, 1.3%-2.4%]).  Conclusions and Relevance  In this study, outpatient progress notes grew longer and more redundant over time, potentially limiting their use in patient care. Interventions aimed at reducing outpatient progress note length and redundancy may need to simultaneously address multiple factors such as note template design and training for both new and established clinicians.","Adam Rule,Steven Bedrick,Michael F. Chiang,Michael F. Chiang,Michelle R. Hribar",,2021
10.1145/3472749.3474814,,,MedKnowts: Unified Documentation and Information Retrieval for Electronic Health Records,"Clinical documentation can be transformed by Electronic Health Records, yet the documentation process is still a tedious, time-consuming, and error-prone process. Clinicians are faced with multi-faceted requirements and fragmented interfaces for information exploration and documentation. These challenges are only exacerbated in the Emergency Department—clinicians often see 35 patients in one shift, during which they have to synthesize an often previously unknown patient’s medical records in order to reach a tailored diagnosis and treatment plan. To better support this information synthesis, clinical documentation tools must enable rapid contextual access to the patient’s medical record. MedKnowts is an integrated note-taking editor and information retrieval system which unifies the documentation and search process and provides concise synthesized concept-oriented slices of the patient’s medical record. MedKnowts automatically captures structured data while still allowing users the flexibility of natural language. MedKnowts leverages this structure to enable easier parsing of long notes, auto-populated text, and proactive information retrieval, easing the documentation burden.","Luke Murray,Divya Gopinath,Monica Agrawal,Steven Horng,David Sontag,David R. Karger",,2021
10.1145/3472749.3474814,,,MedKnowts: Unified Documentation and Information Retrieval for Electronic Health Records,"Clinical documentation can be transformed by Electronic Health Records, yet the documentation process is still a tedious, time-consuming, and error-prone process. Clinicians are faced with multi-faceted requirements and fragmented interfaces for information exploration and documentation. These challenges are only exacerbated in the Emergency Department -- clinicians often see 35 patients in one shift, during which they have to synthesize an often previously unknown patient's medical records in order to reach a tailored diagnosis and treatment plan. To better support this information synthesis, clinical documentation tools must enable rapid contextual access to the patient's medical record. MedKnowts is an integrated note-taking editor and information retrieval system which unifies the documentation and search process and provides concise synthesized concept-oriented slices of the patient's medical record. MedKnowts automatically captures structured data while still allowing users the flexibility of natural language. MedKnowts leverages this structure to enable easier parsing of long notes, auto-populated text, and proactive information retrieval, easing the documentation burden.","Luke Murray,Divya Gopinath,Divya Gopinath,Monica Agrawal,Steven Horng,David Sontag,David R. Karger,David R. Karger",arXiv: Human-Computer Interaction,2021
10.1093/jamia/ocaa020,32181812,,How does medical scribes' work inform development of speech-based clinical documentation technologies? A systematic review.,"OBJECTIVE: Use of medical scribes reduces clinician burnout by sharing the burden of clinical documentation. However, medical scribes are cost-prohibitive for most settings, prompting a growing interest in developing ambient, speech-based technologies capable of automatically generating clinical documentation based on patient-provider conversation. Through a systematic review, we aimed to develop a thorough understanding of the work performed by medical scribes in order to inform the design of such technologies. MATERIALS AND METHODS: Relevant articles retrieved by searching in multiple literature databases. We conducted the screening process following the PRISMA (Preferred Reporting Items for Systematic Reviews and Meta-Analyses) in guidelines, and then analyzed the data using qualitative methods to identify recurring themes. RESULTS: The literature search returned 854 results, 65 of which met the inclusion criteria. We found that there is significant variation in scribe expectations and responsibilities across healthcare organizations; scribes also frequently adapt their work based on the provider's style and preferences. Further, scribes' job extends far beyond capturing conversation in the exam room; they also actively interact with patients and the care team and integrate data from other sources such as prior charts and lab test results. DISCUSSION: The results of this study provide several implications for designing technologies that can generate clinical documentation based on naturalistic conversations taking place in the exam room. First, a one-size-fits-all solution will be unlikely to work because of the significant variation in scribe work. Second, technology designers need to be aware of the limited role that their solution can fulfill. Third, to produce comprehensive clinical documentation, such technologies will likely have to incorporate information beyond the exam room conversation. Finally, issues of patient consent and privacy have yet to be adequately addressed, which could become paramount barriers to implementing such technologies in realistic clinical settings. CONCLUSIONS: Medical scribes perform complex and delicate work. Further research is needed to better understand their roles in a clinical setting in order to inform the development of speech-based clinical documentation technologies.","Brian D. Tran,Yunan Chen,Yunan Chen,Songzi Liu,Kai Zheng",Journal of the American Medical Informatics Association,2020
,33936431,,Methods for Large-Scale Quantitative Analysis of Scribe Impacts on Clinical Documentation,"Many medical providers employ scribes to manage electronic health record (EHR) documentation. Prior studies have shown the benefits of scribes, but no large-scale study has quantitively assessed scribe impact on documentation workflows. We propose methods that leverage EHR data for identifying scribe presence during an office visit, measuring provider documentation time, and determining how notes are edited and composed. In a case study, we found scribe use was associated with less provider documentation time overall (averaging 2.4 minutes or 39% less time, p < 0.001), fewer note edits by providers (8.4% less added and 4.2% less deleted text, p < 0.001), but significantly more documentation time after the visit for four out of seven providers (p < 0.001) and no change in the amount of copied and imported note text. Our methods could validate prior study results, identify variability for determining best practices, and determine that scribes do not improve all aspects of documentation.","Michelle R. Hribar,Haley Lane Dusek,Isaac H. Goldstein,Adam Rule,Michael F. Chiang",,2020
